pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.00160411031031334,0.00802055155156669,0.45505986738723,-0.485154274541943,-1.57307557551608,104,DUSP3|AKT1|PFN1|MAPKAP1|ECSIT|PRKAR2A|CALR|MKNK1|AP2M1|VAV3|PIK3R3|UBE2D3|PRKAG1|CXCR4|PPP2R1B|MAPK8|PIN1|SLA|RIPK1|PLA2G12A|ACTR2|NCK1|STAT2|RIT1|FASLG|SMAD2|IRAK4|RPS6KA3|HSP90B1|ITPR2|PRKCB|RAF1|CLTC|MAP2K3|ARPC3|CSNK2B|EIF4E|PLCB1|ATF1|PIKFYVE|SQSTM1|TNFRSF1A
HALLMARK_PROTEIN_SECRETION,0.796433878157504,0.847270083146281,0.0425023180036553,-0.266655827924951,-0.852924142050242,95,SGMS1|AP2M1|TMED10|NAPA|CLN5|TMX1|RAB14|COPE|RAB9A|SNX2|LAMP2|KIF1B|COPB2|PPT1|VAMP7|ABCA1|RER1|TOM1L1|RPS6KA3|TMED2|SOD1|AP2S1|VAMP3|SEC31A|USO1|GLA|RAB2A|CLTC|GALC
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0445151033386327,0.101170689405984,0.271288554688953,-0.508508487831633,-1.45333928373329,47,PRDX2|NDUFS2|MBP|PRDX1|PRDX4|FES|NDUFA6|HMOX2|GPX4|GCLM|PRDX6|LAMTOR5|MSRA|GCLC|TXN|NDUFB4|LSP1|ATOX1|IPCEF1|SOD1|CAT|GLRX2|FTL|HHEX|GLRX|TXNRD2|GSR
HALLMARK_SPERMATOGENESIS,0.997206703910615,0.998648648648649,0.0289274314524646,-0.211436314549605,-0.705663316002351,127,SIRT1|PRKAR2A|MTOR|IP6K1|ZC3H14|VDAC3|MLLT10|IFT88|STAM2|ZC2HC1C|SHE|PHF7|PHKG2|PEBP1|GFI1|COIL|CCT6B|IL12RB2|CFTR|LPIN1|PSMG1|RPL39L|HSPA4L|PIAS2|IDE|GPR182|RAD17|CAMK4|TKTL1|PARP2|GRM8
HALLMARK_TGF_BETA_SIGNALING,0.000808906207754731,0.00577790148396236,0.477270815362862,0.543918297853895,1.75919515973205,54,BCAR3|SMURF1|PMEPA1|CDH1|FKBP1A|ARID4B|SERPINE1|JUNB|PPP1R15A|SLC20A1|ID1|SMAD3|NCOR2|TJP1|CTNNB1|HDAC1|XIAP|KLF10|BMP2|TGIF1|IFNGR2|SMURF2|THBS1|SMAD7
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0391689876115194,0.100867451009132,0.321775918075361,0.411828541423791,1.56351646218428,198,ZFP36|B4GALT5|TNC|BHLHE40|NR4A1|JUN|CFLAR|PMEPA1|ATF3|SERPINE1|JUNB|FOS|PPP1R15A|PANX1|GEM|LAMB3|OLR1|BTG3|F2RL1|MAP3K8|FUT4|LITAF|TRIP10|SMAD3|KLF6|DUSP4|PLAU|IER3|IL1A|KLF4|FOSL1|LIF|SPHK1|CEBPB|VEGFA|PHLDA2|CCNL1|RELA|BIRC3|DRAM1|KLF10|LDLR|KLF2|RIPK2|YRDC|BMP2|EGR2|ZC3H12A|TGIF1|CXCL3|JAG1|HBEGF|GFPT2|MAFF|PHLDA1|IL23A|PLAUR|DUSP5|IFNGR2|EHD1|B4GALT1|CD44|IER5|MCL1|TRIB1|CCND1|TAP1|FJX1|F3|SIK1|CLCF1|FOSB|TNFAIP3|SDC4|NFKB2|NFAT5|IER2|EIF1|MYC|PER1|HES1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.453216374269006,0.539543302701198,0.0681513438679483,-0.308293903207332,-1.00630865065579,108,EIF4A1|TUBB2A|CXXC1|PDIA6|ATP6V0D1|CALR|PAIP1|SRPRB|YIF1A|IFIT1|PDIA5|POP4|SHC1|ERN1|HSPA9|EXOSC9|DCP2|XBP1|TTC37|SPCS1|PREB|NHP2|EIF2S1|EXOSC1|SSR1|HSP90B1|EIF4G1|EXOSC10|SEC31A|WIPI1|CNOT2|EXOSC2|EXOSC4|EIF4E|RPS14|ZBTB17|DNAJC3|NFYB|EDEM1|FKBP14|EIF4A3|EEF2|TATDN2|DNAJB9|IMP3|LSM1|BANF1|EXOC2|SERP1|SPCS3
HALLMARK_UV_RESPONSE_DN,0.119718309859155,0.193094048159927,0.245041785430996,0.307435040972921,1.1203325171324,139,RUNX1|CACNA1A|BHLHE40|CDC42BPA|SYNJ2|FYN|PIAS3|SERPINE1|ID1|FHL2|IGF1R|SLC7A1|NOTCH2|SMAD3|LAMC1|MET|CDK13|TJP1|CAV1|ATP2B4|CDON|ABCC1|SCAF8|LDLR|VLDLR|ADORA2B|YTHDC1|TGFBR2|INPP4B|ICA1|ADD3|ANXA2|COL1A2|SMAD7|F3|DBP|LTBP1|COL1A1|COL3A1|ATRX|MYC|PLCB4|SIPA1L1|MAP1B|PPARG|COL5A2|ARHGEF9|MMP16
HALLMARK_UV_RESPONSE_UP,0.481617647058824,0.559234073013601,0.11776578836269,0.261903972837077,0.967926448377358,154,CHKA|AGO2|NR4A1|ENO2|DNAJB1|ATF3|HNRNPU|NXF1|JUNB|FOS|PPAT|BTG3|SLC6A8|HSPA2|ASNS|PRKCD|KCNH2|MMP14|PRPF3|BSG|TGFBRAP1|TUBA4A|ALDOA|MARK2|RRAD|GLS|DDX21|BMP2|EPCAM|YKT6
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.418478260869565,0.523097826086957,0.107140237276725,0.329135792162182,1.00445987172897,42,CSNK1E|HDAC11|NCOR2|CTNNB1|PPARD|JAG1|DKK1|AXIN1|JAG2|HDAC2|KAT2A|MAML1|MYC|PTCH1|AXIN2
HALLMARK_XENOBIOTIC_METABOLISM,3.75070090130163e-05,0.000312558408441803,0.557332238758646,-0.463364071261386,-1.62791438565479,197,ACP1|DHPS|GSS|COMT|CNDP2|MCCC2|AKR1C3|ACO2|DHRS7|NMT1|BLVRB|SLC35B1|PINK1|NFS1|RETSAT|DHRS1|PDLIM5|CROT|IGF1|CD36|PTS|SLC12A4|ACOX3|ALDH9A1|SSR3|KYNU|BPHL|GCLC|GSTM4|TMBIM6|PMM1|TKFC|NINJ1|IDH1|PAPSS2|CBR1|GABARAPL1|ACOX1|DDC|ADH5|SLC46A3|CYFIP2|POR|GSTO1|AHCY|ALAS1|ASL|HMOX1|UGDH|CA2|SLC35D1|PGRMC1|RAP1GAP|ETS2|SHMT2|MTHFD1|TMEM97|PGD|IRF8|SAR1B|FAS|PTGR1|CAT|CYP2C18|HACL1|PDK4|ENPEP|GCH1|MAN1A1|MAOA|PROS1|PEMT|ETFDH|ABCC2|ALDH2|LONP1|NDRG2|HNF4A|ACP2|ECH1|ESR1|GSR|FAH|ENTPD5|GCNT2|HSD17B2|TNFRSF1A|PSMB10
