"marker","cell_type","J1798_P28_Baseline","J1798_P28_C1D1","J1798_P41_Baseline","J1798_P41_C1D1","J1798_P23_Baseline","J1798_P19_Baseline","J1798_P19_C1D1","J1798_P42_Baseline","J1798_P42_C1D1","J1798_P8_Baseline","J1798_P8_C1D1","J1798_P5_Baseline","J1798_P5_C1D1","J1798_P1_Baseline","J1798_P1_C1D1","J1798_P27_Baseline","J1798_P27_C1D1","J1798_P9_Baseline","J1798_P40_Baseline","J1798_P30_Baseline","J1798_P24_Baseline","J1798_P24_C1D1","J1798_P34_Baseline","J1798_P34_C1D1","J1798_P34_PD","J1798_P3_Baseline","J1798_P3_C1D1","J1798_P18_Baseline","J1798_P18_C1D1","J1798_P38_Baseline","J1798_P38_C1D1","J1798_P33_Baseline","J1798_P33_C1D1","J1798_P33_C2D1","J1798_P44_Baseline","J1798_P44_C1D1","J1798_P44_C2D1","J1798_P6_Baseline","J1798_P6_C1D1","J1798_P14_Baseline","J1798_P14_C1D1","J1798_P26_Baseline","J1798_P26_C1D1","J1798_P15_Baseline","J1798_P15_C1D1","J1798_P15_C2D1","J1798_P12_Baseline","J1798_P21_Baseline","J1798_P21_C1D1","J1798_P25_Baseline","J1798_P25_C1D1","J1798_P25_C2D1"
"%Ki67+ of total T cells","CD4+ T cell",21.3595771824312,9.51135383730957,19.6972488324875,28.3331261448287,31.25,11.4645550610586,7.37443152297311,6.56377064144054,12.0300751879699,14.9920255183413,8.12950937950938,27.4985071039208,27.2670807453416,11.0931781583955,19.2592592592593,15.8195819581958,17.8571428571429,12.0217599234816,14.8558758314856,19.9689311731995,35.3300361727328,14.3471099131476,17.0833333333333,22.1998547429582,24.7787268958513,22.7272727272727,16.8080939947781,17.0856768253117,10.2699676604524,20.7047995065781,11.20581331124,33.6514542671259,15.5008787570413,37.8643306379155,9.88714895282117,16.6631516046258,25.7050688810639,21.031746031746,1.47492625368732,12.9716824290671,4.13095238095238,24.0503322624462,11.2833631729683,10.3456221198157,4.16666666666667,13.3727751401833,6.47935302943073,8.74391806424428,11.2377702517789,15.4550449170919,13.4751773049645,21.3360035562984
"%Ki67+ of Treg","CD4+ T cell",30.8278867102397,4.44444444444444,30.536136978923,24.2636402387042,50,25.8738738738739,12.7234561213434,16.6666666666667,33.3333333333333,9.52380952380952,16.6666666666667,19.2687747035573,35,19.1402714932127,7.2463768115942,25,0,18.75,0,30.0389812889813,0,8.33333333333333,0,23.5552115583075,21.5044884857822,0,20,18.981018981019,8.56595511767926,27.6888935437323,29.1666666666667,41.3888888888889,28.0922865013774,41.1904761904762,17.4368024022402,24.8111754236401,17.6512164579209,5.55555555555555,3.17460317460317,8.96825396825397,7.22222222222222,14.7126436781609,5.29644268774704,11.9047619047619,0,14.0151515151515,7.32314923619272,21.2103174603175,36.7972488038277,28.567694865678,30.7692307692308,24.3686725482788
"%Ki67+ of Th1","CD4+ T cell",0,19.3181818181818,20.052035506581,20.4107217265112,14.2857142857143,6.73400673400673,0.980392156862745,0,26.6666666666667,16.6666666666667,0,14.5424836601307,25,2.22222222222222,44.8979591836735,7.14285714285714,16.6666666666667,0,0,2.77777777777778,5.55555555555555,0,0,6.25,37.3254069987463,0,6.25,16.9606999426277,13.4731299927378,28.7291280148423,21.5608465608466,18.2565789473684,4.54545454545455,0,13.035113035113,13.0180776014109,28.7095004883904,11.1111111111111,0,8.47222222222222,16.25,20.769094453305,10.6666666666667,2,7.14285714285714,10.2645502645503,5.29351204351204,3.65,3.78571428571429,8.05152979066023,13.7931034482759,26.399266182293
"%Ki67+ of other (non classical, and double neg)","CD4+ T cell",20.6937095825985,7.89106145251397,19.2476633043158,30.6759049773756,41.6666666666667,9.97239904456399,7.25285577545272,5.88613514145429,9.56521739130435,14.3906810035842,8.3201581027668,28.4019126101222,28.1609195402299,9.32781271837876,18.2010582010582,15.0406504065041,16.1904761904762,11.6772402854877,14.9521531100478,18.4096833016295,36.6887942974899,19.7692307692308,23.4848484848485,20.5701754385965,23.9853286078716,22.7272727272727,17.3873873873874,17.0833952368487,9.13139597980603,18.7886345507931,7.50284718965633,33.043468434108,12.7569160623343,26.1730333158905,7.98091599904676,15.1057936607106,25.791911673734,22.7668845315904,1.08695652173913,13.2476869468371,2.94303132226193,24.0419250968605,11.3999938685206,11.3636363636364,3.97951142631994,13.4713437567868,6.69726604076452,8.45537721783569,10.7187299438169,13.5712418300654,12.8608923884514,21.1944227174974
"%Ki67+","CD8+ T cell",23.112922705314,8.21491889603345,19.1061492488828,26.5864511460998,23.3333333333333,5.90267453001619,7.83899605105832,7.27058029689609,9.61538461538462,19.7634891827269,21.8074970131422,33.4777748657282,25.926265590609,16.5397274954072,24.5429080723198,21.6374269005848,27.6388888888889,34.4735720375107,16.1371237458194,41.585851572821,24.9278499278499,21.1846028734074,45.8333333333333,17.1813149430975,27.8059159310789,23.0769230769231,8.6504243087873,27.2581095926754,11.9197507982852,26.8087996243006,21.489933989934,37.7426015208147,24.1577997804403,43.9716510380741,10.4401460455523,13.265814645125,32.2355255571314,24.6753246753247,11.1111111111111,17.392554307408,7.65224358974359,12.4199757272348,13.6292588158011,14.7012578616352,48.8721804511278,19.3758797324162,4.60530378369669,9.27384085022315,4.2354829078967,17.4705897982636,3.15789473684211,29.2234410147899
"%PD-1+","CD8+ T cell",16.7149758454106,1.16959064327485,6.0600871353772,9.61263639779249,1.66666666666667,7.91070927082301,9.30698961930612,6.14035087719298,3.84615384615385,14.2367412784836,9.97527545466614,26.8725168194099,2.55869405722671,7.45241375790978,3.18309141838554,15.8382066276803,8.47222222222222,35.7923060528559,10.3678929765886,28.3163511104688,0,0,4.16666666666667,4.81970559129144,8.39645364551971,0,0.800711743772242,15.9998557550515,0.656334930314624,6.97035771922511,18.4896434896435,37.3042564884068,11.7783446834627,34.1899542016989,15.0655157348987,13.2315959902167,8.88333101420427,16.0606060606061,40.9206349206349,6.30717744371158,4.00641025641026,2.69531990746008,16.5778758217133,12.5786163522013,7.89473684210526,13.327311247515,7.87692260194417,1.44409799369228,11.7277329949744,10.8310582358529,0,5.68793659429585
"%GRZB+","CD8+ T cell",10.606884057971,3.4412955465587,14.7827807737841,6.74780739188948,3.33333333333333,4.03110235570093,5.98303155000394,8.31646423751687,3.84615384615385,0.25062656641604,7.62231182795699,23.6302253089948,6.18121790168745,0.36231884057971,1.14591291061879,15.3021442495127,6.38888888888889,0.785912190963342,18.3110367892977,27.415442586701,6.6017316017316,10.2941176470588,4.16666666666667,0.265957446808511,0,0,2.75800711743772,0.826446280991736,9.34838581897405,1.41974844248165,2.49287749287749,4.10214636770042,5.50237358933143,1.7812867023359,5.58325990437674,1.71001412380723,1.18547818967651,12.1212121212121,3.71428571428571,20.8528917943772,14.2628205128205,0.490196078431373,1.55883257315636,16.9025157232704,5.26315789473684,4.51475048249242,0.584354282683638,0.981072248402512,0.539234711648505,0.0428449014567266,1.05263157894737,2.4587301360721
"%Ki67+GRZB+","CD8+ T cell",2.41545893719807,0.584795321637427,10.0157536180082,5.43945059492854,1.66666666666667,0.399599811676083,4.07016318338417,1.75438596491228,1.92307692307692,0,5.34274193548387,16.8211036544054,3.19148936170213,0.36231884057971,0.967659791189203,10.2826510721248,2.22222222222222,0.0612745098039216,6.52173913043478,23.6976281093928,0,4.41176470588235,4.16666666666667,0,0,0,0.889679715302491,0.275482093663912,5.87461626064567,0.859951510905261,2.17236467236467,1.83846312745301,1.57155660130447,0.343642611683849,1.93332082251037,0.95243836623147,0.40483806477409,9.09090909090909,0.444444444444444,11.8412638874004,6.08974358974359,0,1.29567467841952,8.56918238993711,2.63157894736842,2.90184725668597,0.536621585786264,0.3125,0.274891774891775,0,0,1.16750657135444
"%PD-1-EOMES-","CD8+ T cell",25.4468599033816,36.2533407425048,13.8066934346398,6.52595922045972,43.3333333333333,13.7146686159844,15.1239574346942,20.9851551956815,5.76923076923077,3.15443781868464,14.8003119607062,2.99693584228092,36.4178283198826,20.3330945819847,15.4774637127578,4.48343079922027,13.1944444444444,2.59750639386189,4.09698996655518,7.10943377547994,18.1818181818182,4.41176470588235,4.16666666666667,11.2629886194953,9.96003457813345,0,6.24828907747057,10.2600659147899,11.2025375935457,9.83063784116709,13.5675710675711,24.7838237070931,9.42448022968492,9.52132386296552,5.18001016181642,6.5273806653117,14.2301636561321,15.5844155844156,2.22222222222222,5.48563683128574,13.3012820512821,2.55328630485076,2.9959281225104,2.83018867924528,35.7142857142857,6.52743314033637,3.07944857287728,9.69030173797409,12.4030327909638,13.4871432082528,5.26315789473684,4.08777430008585
"%PD-1+EOMES-","CD8+ T cell",10.048309178744,0.584795321637427,3.40573920283668,7.22797064461907,1.66666666666667,1.79333102058347,6.52382839928715,3.50877192982456,1.92307692307692,1.2531328320802,7.36716779503518,14.525215871166,1.06382978723404,3.16008369054909,2.57193786605551,12.6705653021442,4.16666666666667,0.0612745098039216,8.4448160535117,23.2694592988711,0,0,0,0.132978723404255,0.462417940239617,0,0.711743772241993,1.11699682017163,0.281909253938553,1.77302921361721,2.1028721028721,17.0662053294774,0.494841171140761,3.14653592090627,4.65379692760187,3.55156337914959,1.58709541875568,3.03030303030303,4.76190476190476,5.42539449797514,2.08333333333333,0.606060606060606,3.41565995629953,12.5786163522013,0,7.40281224152192,2.36022988323116,0,6.70402298850575,3.47953740791668,0,0.342783611789691
"%PD-1-EOMES+","CD8+ T cell",57.8381642512077,62.5770686142203,80.133219429983,83.8614043817478,55,78.3746221131926,75.5690529459997,72.8744939271255,90.3846153846154,82.6088209028318,75.2244125846276,70.1305473383092,61.0234776228907,72.2144916601056,81.3394448688566,79.6783625730994,78.3333333333333,61.6101875532822,85.5351170568562,64.5742151140513,81.8181818181818,95.5882352941177,91.6666666666667,83.9173057892133,81.6435117763468,100,92.9509991787572,73.7400783301587,88.1411274761396,83.1990044396078,67.9427854427854,37.9119198045001,78.7971750868523,56.2887219353355,79.7544741032849,80.2410233444716,76.8865053296637,68.3549783549784,56.8571428571429,88.2071857250027,82.6923076923077,94.7513937876892,80.4261960557763,84.5911949685535,56.390977443609,80.1452556121486,89.0436288251785,88.8656002683336,75.8692342140618,75.6817985558943,94.7368421052632,90.2242891056183
"%PD-1+EOMES+","CD8+ T cell",6.66666666666667,0.584795321637427,2.65434793254052,2.38466575317343,0,6.11737825023954,2.78316122001897,2.63157894736842,1.92307692307692,12.9836084464034,2.60810765963096,12.3473009482439,1.49486426999266,4.29233006736069,0.611153552330023,3.16764132553606,4.30555555555556,35.731031543052,1.92307692307692,5.04689181159769,0,0,4.16666666666667,4.68672686788718,7.93403570528009,0,0.0889679715302491,14.8828589348798,0.374425676376071,5.19732850560789,16.3867713867714,20.2380511589294,11.283503512322,31.0434182807927,10.4117188072969,9.68003261106709,7.29623559544858,13.030303030303,36.1587301587302,0.881782945736434,1.92307692307692,2.08925930139948,13.1622158654137,0,7.89473684210526,5.92449900599306,5.51669271871302,1.44409799369228,5.02371000646863,7.3515208279362,0,5.34515298250616
"%Ki67+ of PD-1-EOMES-","CD8+ T cell",39.3162393162393,14.0275514738557,37.8068283917341,46.7410714285714,38.4615384615385,10.3650586701434,9.07384181840704,2.5,0,4.16666666666667,38.3333333333333,30.7017543859649,25.8333333333333,27.5025799793602,29.5726495726496,25,53.3333333333333,57.1428571428571,0,17.2619047619048,25,16.6666666666667,33.3333333333333,16.6666666666667,27.5850340136054,0,74.0740740740741,40.7142857142857,25.7401602229188,42.050547491724,14.6296296296296,42.7083333333333,43.4848484848485,65.8823529411765,26.3471177944862,15.1282051282051,41.1093754172341,50,13.3333333333333,51.1111111111111,23.2142857142857,8.33333333333333,29.047619047619,12.5,30,19.8067632850242,22,17.6076555023923,14.8008385744235,46.8658008658009,0,56.5357142857143
"%Ki67+ of PD-1+EOMES-","CD8+ T cell",30.952380952381,16.6666666666667,42.3809523809524,72.0545977011494,0,20.8333333333333,68.3712121212121,25,100,6.66666666666667,12.1212121212121,48.974358974359,0,31.25,66.6666666666667,75,0,50,50,71.6216216216216,0,0,0,25,28.5714285714286,0,43.75,33.3333333333333,0,25,8.33333333333333,37.8787878787879,15.1515151515152,50,47.2727272727273,24.7619047619048,55.2040816326531,33.3333333333333,0,80,25,33.3333333333333,53.3333333333333,97.2222222222222,0,54.6296296296296,43.3333333333333,0,16.6666666666667,63.8888888888889,0,50
"%Ki67+ of PD-1-EOMES+","CD8+ T cell",11.3945578231293,4.52425373134328,9.5504659511144,20.9089576001341,12.1212121212121,4.55258692842029,2.20141218787086,5.20833333333333,8.51063829787234,19.1642706536324,7.50086266390614,23.0805841116262,26.3546798029557,16.8603678929766,20.7971014492754,14.3625192012289,23.1481481481481,27.2684525505842,10.8695652173913,33.1134596695821,22.6767676767677,20.4493087557604,43.0555555555556,16.0557261497662,25.1591964199209,23.0769230769231,3.2319391634981,23.726795803067,6.04202365420076,24.1849638352795,15.1271705141674,8.85854341736695,17.8544543974801,43.5593220338983,7.24433668056591,11.7096616119916,27.7903662466536,11.4285714285714,11.1111111111111,8.41652693737698,2.11805555555556,11.1163302339773,7.45575559192581,1.92307692307692,59.375,9.81888481888482,3.15980781422041,5.13411161895242,2.92238697345143,11.3685087082086,3.33333333333333,25.7684741591569
"%Ki67+ of PD-1+EOMES+","CD8+ T cell",30.952380952381,16.6666666666667,42.3809523809524,72.0545977011494,0,20.8333333333333,68.3712121212121,25,100,6.66666666666667,12.1212121212121,48.974358974359,0,31.25,66.6666666666667,75,0,50,50,71.6216216216216,0,0,0,25,28.5714285714286,0,43.75,33.3333333333333,0,25,8.33333333333333,37.8787878787879,15.1515151515152,50,47.2727272727273,24.7619047619048,55.2040816326531,33.3333333333333,0,80,25,33.3333333333333,53.3333333333333,97.2222222222222,0,54.6296296296296,43.3333333333333,0,16.6666666666667,63.8888888888889,0,50
"%Ki67+ GRZB+ of PD-1-EOMES- ","CD8+ T cell",0,0,23.0844564240791,3.92857142857143,3.84615384615385,0.564971751412429,3.58796296296296,0,0,0,11.6666666666667,25,6.25,2.77777777777778,2.22222222222222,25,6.66666666666667,0,0,0,0,8.33333333333333,0,0,0,0,3.7037037037037,6.66666666666667,12.8352490421456,0,0,1.38888888888889,12.7272727272727,0,15.0375939849624,3.33333333333333,1.6994541147389,33.3333333333333,0,37.7777777777778,23.2142857142857,0,2.85714285714286,0,0,1.44927536231884,20,1.05263157894737,2.5,0,0,13.4166666666667
"%Ki67+ GRZB+ of PD-1+EOMES- ","CD8+ T cell",23.8095238095238,16.6666666666667,37.6190476190476,55.5854885057471,0,8.33333333333333,62.1212121212121,25,100,0,10.6060606060606,44.3589743589744,0,0,8.33333333333333,75,0,50,50,70.4311454311454,0,0,0,0,0,0,37.5,0,0,7.14285714285714,4.16666666666667,2.27272727272727,0,16.6666666666667,36.2337662337662,11.4285714285714,4.08163265306122,33.3333333333333,0,70,25,0,12.8571428571429,52.7777777777778,0,18.5185185185185,6.66666666666667,0,0,0,0,12.5
"%Ki67+ GRZB+ of PD-1-EOMES+ ","CD8+ T cell",0,0.497512437810945,1.76470588235294,0,0,0.164203612479475,0,0,0,0,0,2.84664830119376,1.72413793103448,0,0,0,0,0,0,3.125,0,3.57142857142857,0,0,0,0,0.190114068441065,0,0.212239744270193,0.127509479292317,0,0,0.796294614476433,0.21505376344086,0,0.144927536231884,0.136054421768707,0,0.483091787439614,3.82509538042818,0.555555555555556,0,1.02564102564103,0,3.125,0,0.0487804878048781,0,0.128865979381443,0,0,0.560954596764883
"%Ki67+ GRZB+ of PD-1+EOMES+ ","CD8+ T cell",23.8095238095238,16.6666666666667,37.6190476190476,55.5854885057471,0,8.33333333333333,62.1212121212121,25,100,0,10.6060606060606,44.3589743589744,0,0,8.33333333333333,75,0,50,50,70.4311454311454,0,0,0,0,0,0,37.5,0,0,7.14285714285714,4.16666666666667,2.27272727272727,0,16.6666666666667,36.2337662337662,11.4285714285714,4.08163265306122,33.3333333333333,0,70,25,0,12.8571428571429,52.7777777777778,0,18.5185185185185,6.66666666666667,0,0,0,0,12.5
"%PD-1+","CD20+ B cell",0,0,0,5.16666666666667,16.6666666666667,4.04761904761905,0.78125,0,0,0,30.1587301587302,1.36206896551724,0,2.60135135135135,0,14.2857142857143,12.8205128205128,0.649350649350649,0,0,0,0,0,0,5.71428571428571,0,0,5.55555555555555,0.87719298245614,0,2.08333333333333,28.3333333333333,0,33.3333333333333,5.95238095238095,1.60533910533911,13.3382214632215,11.4285714285714,0,5.64516129032258,27.0833333333333,0,11.2307692307692,16.6666666666667,0,1.38888888888889,10.4716920506394,0,14.7035256410256,3.92156862745098,0,5.04261363636364
"%PD-L1+","CD20+ B cell",0,0,0.851063829787234,1,16.6666666666667,0,0.78125,0,0,0,4.16666666666667,28.2851458885942,0,6.08108108108108,0,14.2857142857143,10.2564102564103,6.49350649350649,21.4285714285714,0,0,0,4.76190476190476,6.25,11.6666666666667,0,0,5.55555555555555,4.3859649122807,0,5.20833333333333,2.63157894736842,18.1818181818182,16.6666666666667,4.13419913419913,3.62554112554113,14.2716191466191,20,0,3.33333333333333,33.3333333333333,2.08333333333333,24.4615384615385,38.0952380952381,0,5.20833333333333,10.4716920506394,2,38.8621794871795,21.1173358232182,0,11.7961530195573
"%PD-L1+","CD66b cell",0,33.3333333333333,0.740740740740741,0.833333333333333,0,0,0,0,0,0,0,0,1.38888888888889,1.875,0,26.4285714285714,0,0,0,0,0,0,0,2.5,0,0,0,0,13.7490165224233,1.46103896103896,12.3015873015873,8.16953316953317,2.58467023172906,2.38095238095238,7.71593997400449,0,16.9254112080658,16.6666666666667,0,0,8.33333333333333,0.512820512820513,12.020202020202,0,0,2.56410256410256,7.69105691056911,19.5751633986928,6.48459383753501,7.1969696969697,0,17.1082251082251
"%CD163+","macrophage",0,21.6666666666667,95.2727272727273,87.5,0,71.9859734788645,56.1954475064231,71.4285714285714,75,42.1717171717172,57.7380952380952,72.9144988711102,0,70.8333333333333,42.0343137254902,45.2380952380952,26.1904761904762,41.8604651162791,0,50,16.6666666666667,0,0,3.40909090909091,20.9546925566343,0,50,59.4735616119264,32.5284090909091,54.4421029281278,32.8306878306878,43.2795698924731,53.2467532467533,12.1212121212121,34.5374149659864,83.7606837606838,62.890994957623,0,74.4444444444444,30,43.75,60.4793580403337,52.4761904761905,16.6666666666667,0,90.9685086155674,65.9752095594792,52.4761904761905,38.7108262108262,62.7450980392157,33.3333333333333,33.8419450919451
"%CD163-","macrophage",33.3333333333333,45,4.72727272727273,12.5,0,28.0140265211355,43.8045524935769,28.5714285714286,25,57.8282828282828,25.5952380952381,27.0855011288898,50,29.1666666666667,57.9656862745098,54.7619047619048,7.14285714285714,8.13953488372093,0,0,0,50,0,21.5909090909091,21.9024503005086,0,0,40.5264383880736,34.1382575757576,45.5578970718722,33.8359788359788,31.7204301075269,10.3896103896104,21.2121212121212,51.1768707482993,16.2393162393162,37.109005042377,33.3333333333333,25.5555555555556,10,6.25,39.5206419596663,27.5238095238095,33.3333333333333,100,9.03149138443256,34.0247904405208,47.5238095238095,61.2891737891738,37.2549019607843,66.6666666666667,66.1580549080549
"%PD-L1+ of total macrophages","macrophage",0,0,1.09090909090909,0,0,0.157977883096367,0,7.14285714285714,0,0,2.38095238095238,0.35461863158928,0,9.375,3.92156862745098,3.57142857142857,0,3.48837209302326,0,0,0,25,0,0,12.5173370319001,0,0,0.246913580246914,6.77083333333333,5.72315882874889,10.2513227513228,8.30231596360629,0,3.03030303030303,8.69666048237477,0,12.7760007228698,0,0,2.5,6.25,4.76190476190476,5,27.7777777777778,0,5.05050505050505,5.55805243445693,6.85714285714286,0.925925925925926,11.6666666666667,0,18.2030238280238
"%PDL1+ of CD163+ CD68+ cells","macrophage",0,0,0,0,0,0.22075055187638,0,8.33333333333333,0,0,3.33333333333333,0.185185185185185,0,9.375,4.76190476190476,6.25,0,4.16666666666667,0,0,0,0,0,0,15.8555729984301,0,0,0.297619047619048,7.69230769230769,3.80952380952381,14.4444444444444,10.2472527472527,0,0,1.94805194805195,0,16.5870284691241,0,0,0,8.33333333333333,11.1111111111111,2.72727272727273,0,0,5.71428571428571,4.45098039215686,12.1212121212121,2.27272727272727,8.88888888888889,0,12.6893939393939
"%PDL1+ of CD163- CD68+ cells","macrophage",0,0,4.61538461538461,0,0,0,0,0,0,0,0,0.416666666666667,0,9.375,0,0,0,0,0,0,0,25,0,0,13.0952380952381,0,0,0,6.14035087719298,6.84051398337113,6.01851851851852,5.55555555555556,0,4.76190476190476,14.9350649350649,0,7.64789557359217,0,0,5,0,0,7.27272727272727,41.6666666666667,0,0,6.66666666666667,1.53846153846154,0,14.4444444444444,0,22.1763392857143
"% CD163+ ","Monocyte",38.6059092800666,16.6212584561208,25.1885810938275,26.3798368184483,14.8148148148148,29.9683607354336,29.9578532531501,16.09375,7.31707317073171,8.2398303450935,7.45869237700994,25.3289110005528,20.4700352526439,14.1927516927517,2.1505376344086,6.81984681984682,18.5363247863248,32.7550468637347,19.8863636363636,14.5351612091241,37.9957817414862,6.08258928571429,2.77777777777778,19.0500263296472,18.6052404491336,1.48148148148148,12.7707845433255,32.2123393622085,32.0084721030099,23.2982450055758,17.8460866120713,10.9375,21.1607844037165,22.0755086071987,14.5426085128229,14.7725425774206,22.557223669,31.4814814814815,23.2552535184114,15.0466883917277,35.1433931343798,9.65133073629412,7.87215332042918,1.953125,5,27.6508859357697,10.6090091100363,17.7012585972957,13.7361973775017,16.1319184352892,3.7037037037037,13.8534624448997
"% CD163- ","Monocyte",61.3940907199334,83.3787415438792,74.8114189061725,73.6201631815517,85.1851851851852,70.0316392645664,70.0421467468499,83.90625,92.6829268292683,91.7601696549065,92.5413076229901,74.6710889994472,79.529964747356,85.8072483072483,64.5161290322581,93.1801531801532,81.4636752136752,67.2449531362653,80.1136363636364,85.4648387908759,62.0042182585138,93.9174107142857,97.2222222222222,80.9499736703528,81.3947595508664,98.5185185185185,87.2292154566745,67.7876606377915,67.9915278969901,76.7017549944242,82.1539133879287,64.0625,78.8392155962835,77.9244913928012,85.4573914871771,85.2274574225794,77.442776331,68.5185185185185,76.7447464815886,84.9533116082723,64.8566068656201,90.3486692637059,92.1278466795708,48.046875,95,72.3491140642304,89.3909908899637,82.2987414027044,86.2638026224983,83.8680815647108,96.2962962962963,86.1465375551003
"%PD-L1+","Monocyte",0.37037037037037,0,0.292958346649622,0.193798449612403,0,0,0,0,0,0.170940170940171,5.55555555555555,0.0462962962962963,0,0.549450549450549,0,0,0,0,0,0.0664893617021277,0,0,0,1,4.70214659290628,0,0.117096018735363,1.21618673647469,0.94014469014469,1.37296549782421,7.66689548019471,2.08333333333333,0.395256916996047,1.51115023474178,0.200030003872885,0.33896846904977,4.2377125079454,0,0,0,0.367647058823529,0.392156862745098,2.22222222222222,5.46875,12.5,0.193798449612403,0.773007173258753,1.00697141252983,2.43055555555556,3.09196837286725,0,1.56937291635567
"%PDL1+ of CD163+ monocytes","Monocyte",0.87719298245614,0,1.14420062695925,0.409836065573771,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0.21551724137931,0,0,0,3.125,11.9281770679286,0,1.72413793103448,5.24499654934437,1.39384667686554,2.10413799641084,10.2231384913898,10,0,7.32600732600733,0.649350649350649,2.18173639226271,8.47931194093948,0,0,0,0.806451612903226,0,0,0,0,0.680272108843537,1.72161172161172,0.909090909090909,0,12.6388888888889,0,4.01785714285714
"%PDL1+ of CD163- monocytes","Monocyte",0,0,0,0.0943396226415094,0,0,0,0,0,0.188323917137476,5.55555555555555,0.049800796812749,0,0.301204819277108,0,0,0,0,0,0.0393081761006289,0,0,0,0.595238095238095,3.07450395220902,0,0,0,0.574712643678161,1.055897116647,7.15974798449773,1.16279069767442,0.505050505050505,0.40650406504065,0.15549644175288,0.111111111111111,3.27203971620618,0,0,0,0,0.40650406504065,2.38095238095238,5.69105691056911,12.5,0,0.684016582220175,0.819397993311037,3.14542483660131,1.2977262977263,0,1.43928259553691
"%DC-LAMP+","DC",0,0,0.0917431192660551,0,0,3.18365407460204,0.82233545144392,0,0,3.50877192982456,0,0.584795321637427,0,17.0833333333333,9.53282828282828,0,0,0,3.33333333333333,0,0,4.16666666666667,0,29.5814479638009,14.8238838040903,25,9.32343234323432,11.0857818304627,20.6944444444444,5.93199071459941,19.4444444444444,14.5604395604396,11.096256684492,0,7.36787764751291,16.4444444444444,10.205765862791,4.16666666666667,29.9688697318008,8.96767241921881,6.92490764421711,0,4.26190476190476,13.7362637362637,26.3888888888889,11.6159352629941,9.66324451565684,5.6104770602042,6.69574116977221,42.5929976608948,55.1020408163265,31.3745197594807
"%DC-LAMP-","DC",100,66.6666666666667,99.9082568807339,100,100,96.816345925398,99.1776645485561,100,100,96.4912280701754,100,74.4152046783626,100,82.9166666666667,90.4671717171717,100,100,100,46.6666666666667,100,50,70.8333333333333,66.6666666666667,70.4185520361991,70.8904019101954,75,90.6765676567657,88.9142181695373,62.6388888888889,79.7822949996863,63.8888888888889,60.4395604395604,79.8128342245989,66.6666666666667,92.6321223524871,83.5555555555556,89.794234137209,95.8333333333333,70.0311302681992,91.0323275807812,93.0750923557829,100,95.7380952380952,36.2637362637363,73.6111111111111,88.3840647370059,90.3367554843432,94.3895229397958,93.3042588302278,57.4070023391052,44.8979591836735,68.6254802405193
"%PD-L1+ of total DCs","DC",0,0,0.114285714285714,0,0,0,0.215956965286724,1.38888888888889,0,0,0.595238095238095,0.793650793650794,0,1.5625,4.16666666666667,0,0,2.08841995116847,3.33333333333333,0.231481481481481,0,0,0,0,25.1715028637757,0,0,2.29652144545762,2.96296296296296,10.1449275362319,8.33333333333333,3.39366515837104,1.92513368983957,16.6666666666667,3.9070777247069,3.94771241830065,12.2551560292653,0,0,0.21978021978022,2.33265720081136,0,0.416666666666667,1.0989010989011,0,5.40740740740741,1.78861788617886,6.02272559526446,2.09834011901033,5.75691829290642,0,4.77737060710133
"%PD-L1+ of DC-LAMP+","DC",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,50,0,0,0,0,0,22.2718253968254,0,0,0,4.16666666666667,0,16.6666666666667,0,0,0,16.6666666666667,16.9934640522876,13.3882783882784,0,0,0,0,0,0,2,0,18.3783783783784,4.44444444444444,19.6153846153846,25,7.96796172049722,0,8.15170113631985
"%PD-L1+ of DC-LAMP-","DC",0,0,0.114285714285714,0,0,0,0.216744626429066,1.38888888888889,0,0,0.595238095238095,0.403225806451613,0,1.5625,4.65116279069767,0,0,2.08841995116847,0,0.231481481481481,0,0,0,0,23.6860819954635,0,0,2.46031746031746,2.89634146341463,10.2040816326531,6.66666666666667,3.74331550802139,3.13852813852814,16.6666666666667,3.10444786665459,1.46348394430236,11.940918074151,0,0,0.25,2.37722048066876,0,0.434782608695652,0.757575757575758,0,3.25453112687155,1.33333333333333,5.38947368421053,1.37096774193548,4.09511784511785,0,2.5442262911578
