Cell_types,J1798_P28_Baseline,J1798_P42_C1D1,J1798_P28_C1D1,J1798_P41_Baseline,J1798_P41_C1D1,J1798_P7_Baseline,J1798_P7_C1D1,J1798_P19_Baseline,J1798_P19_C1D1,J1798_P42_Baseline,J1798_P8_Baseline,J1798_P38_C2D1,J1798_P8_C1D1,J1798_P5_Baseline,J1798_P5_C1D1,J1798_P5_C2D1,J1798_P1_Baseline,J1798_P1_C1D1,J1798_P38_Baseline,J1798_P38_C1D1,J1798_P27_Baseline,J1798_P24_C1D1,J1798_P27_C1D1,J1798_P9_Baseline,J1798_P9_C1D1,J1798_P40_Baseline,J1798_P40_C1D1,J1798_P30_Baseline,J1798_P30_C1D1,J1798_P24_Baseline,J1798_P34_Baseline,J1798_P6_C1D1,J1798_P34_C1D1,J1798_P3_Baseline,J1798_P3_C1D1,J1798_P18_Baseline,J1798_P18_C1D1,J1798_P33_Baseline,J1798_P33_C1D1,J1798_P6_Baseline,J1798_P44_Baseline,J1798_P22_C2D1,J1798_P44_C1D1,J1798_P44_C2D1,J1798_P14_Baseline,J1798_P14_C1D1,J1798_P26_Baseline,J1798_P26_C1D1,J1798_P22_Baseline,J1798_P22_C1D1,J1798_P15_Baseline,J1798_P39_C2D1,J1798_P15_C1D1,J1798_P15_C2D1,J1798_P12_Baseline,J1798_P12_C1D1,J1798_P12_C2D1,J1798_P39_Baseline,J1798_P39_C1D1,J1798_P21_Baseline,J1798_P21_C1D1,J1798_P25_Baseline,J1798_P25_C1D1,J1798_P25_C2D1
B,12.4329089636217,5.42245133071681,7.72000931111446,5.20858953741368,2.82075191794176,3.30996107395948,2.1519387191029,6.13837716214316,6.22215856191363,6.19373747644825,4.2831568204253,2.74186643835616,5.46872050439838,4.30138693642121,2.61063924899419,1.63308258954671,6.58122066878239,5.52827950692912,6.17510341592392,4.85912180939758,8.99772209567198,1.31686478454681,6.01496929840497,13.973110545535,9.22777417261518,7.39527511510303,3.78347493416803,2.09311964631114,1.26782355101905,1.09845825858617,8.73350746768468,11.6396891503156,6.76471187338317,2.22431629899801,3.29428276251925,3.18899596375069,3.31919303131375,7.20164169213997,6.33482953938228,18.559594317346,4.38223402419905,2.91599883432901,2.96505169614629,1.81416008134287,1.86204631936799,1.3545674152277,4.16835158436181,5.34595352034476,4.49194334931385,2.59468294302424,2.54304961199042,9.35116516115426,2.92602471951294,1.24561507818539,5.24706622903646,5.60985005207516,3.29026199034943,16.0041367720251,11.3252754812768,9.88238179063433,5.84145502346646,7.88853337021228,8.02170428290825,8.9074268456623
DNT_I,0.137423185625016,0.150352449573351,0.138297435335679,0.276227414624917,0.1102021786123,0.321888412017167,0.15596620074232,0.114259597806216,0.147532765165079,0.136076801148428,0.284428382606368,0.100599315068493,0.215199909389512,0.0623179374211968,0.0911935628073312,0.142261371165764,0.122532501746088,0.0945903337687492,0.251609876753806,0.133609816580444,0.137096093815912,0.152303120356612,0.178032917923192,0.15215226291911,0.202095114489663,0.144916597479055,0.268296318378298,0.175002302661877,0.151381916539587,0.230091256532252,0.00669747505190543,0.090163582499678,0.219990630028721,0.10914810245007,0.128652462914953,0.117959001553982,0.110100061526505,0.275752976635814,0.272523244629689,0.112259513025975,0.177779778112834,0.045534023022002,0.182859095958301,0.217627856365615,0.0724343744567422,0.105573946497271,0.202190123416851,0.0700631890648547,0.0728051980164018,0.0408611487090431,0.0696164950142304,0.254824083512003,0.177149722058195,0.263095308876865,0.104911349909327,0.405187541909803,0.144110884419832,0.292159524271217,0.175548886806552,0.131368067050261,0.0831852772329085,0.215616140408225,0.153525440821211,0.0865513875844797
DNT_II,0.324111286851453,4.7644152851815,0.260163492215634,0.424746949200643,0.283982537193235,0.247030641780617,0.17570875779831,0.504500070313599,0.398195230251379,5.06474863175524,0.431661898308488,0.098458904109589,0.481368218371277,2.79126389472616,3.11667411712114,2.30931129906069,0.235262403352489,0.213203609447022,0.120829601830924,0.121852152721365,0.185607019320003,0.354754829123328,0.148966319078589,0.142469846187894,0.317048298878279,0.140387953807835,0.196253788443385,0.158883669521967,0.0779171629247877,0.818968879182591,0.261201527024312,0.5281009832124,0.21387977919459,3.21342860629398,2.63737548975653,1.50013078063216,1.45396845957061,0.461725914366944,0.753446617505611,0.286455309100763,0.375062823022856,0.316916800233134,0.446039477057165,0.14270679105942,1.81955148635336,0.701440458083564,1.28431166394384,0.367501255849615,0.358531258156243,0.232397783282683,0.17813632547759,0.762714843063513,0.121154120258191,0.0416195968844759,0.0689417442261289,0.0370946341185031,0.0631497133974546,0.668347230301855,0.62984093847486,0.140125938186946,0.10885974551467,0.160297713714569,0.136968775634609,0.0828683498149274
DNT_III,0.282625042134467,4.48128404897194,0.175268036861059,2.24765868886576,1.37116941465689,0.0436670326379878,0.0473821369343757,1.43263957249332,1.09432070471962,3.08640129198194,2.57324030852114,0.0663527397260274,1.77634311171518,1.11592585614701,1.29101475189987,0.758077717581946,1.46303807084829,1.31525606954642,0.0355381181855658,0.0897857967420582,0.215135408757277,1.51745913818722,0.221632816190096,0.201947548965365,0.255863539445629,0.150954789040682,0.233517165995926,0.544579533941236,0.287180400494217,1.59373943790136,0.200924251557163,0.440084152677,0.105921414458273,0.344392770463574,0.243659967641956,0.792889636532416,0.678410673229494,0.476689254184391,0.435502832104307,0.319358959470445,0.0787631928347998,0.23131283695177,0.0700675040587883,0.0713533955297098,0.784222827451662,0.3489308401181,0.187632434530838,0.0819607117362451,0.259626083492452,0.263043644814465,0.133090358115441,1.03335559382798,0.225000509050925,0.102562578036744,0.191837896977054,0.129831219414761,0.111726416010881,1.06134057268438,1.10311124817631,4.29573579254355,8.56294866133322,0.227559891626173,0.267916945746818,0.185993407362393
M,25.148442969378,8.02530607462949,38.5630759540469,15.3372434017595,35.0824397066927,8.13953488372093,37.2917160230593,11.9831950499227,11.911480340901,5.19783473397733,13.1405912764142,17.9837328767123,9.88598180239363,15.730206808597,22.6911041573536,34.6708500604124,14.0753084755731,14.9242526612915,6.99248013419193,4.12800889306939,23.2282966337636,30.3603268945022,10.8836246048759,57.8482903618457,52.744970798183,24.2629632425089,20.3135092164754,22.4705259279727,38.2283863355558,15.7398018875283,48.7643158529234,30.9647503327466,38.6266881225429,23.0105893997532,24.601859612873,25.666340142474,19.50390207571,28.1481798165922,10.2490114352891,23.7970812526613,46.4380283697519,18.4376366020691,27.1725198667008,39.6582172354127,22.9897046609105,23.5250961796546,17.7652330038982,33.4690532215848,15.9127436570188,44.717419618459,5.77612154221012,35.5049031668483,11.8313616094154,22.8580771746239,9.89463903001963,8.48468419625915,13.9172252987467,21.1091719992244,38.0193815460163,22.8659257507685,10.9989422119068,17.3429553869461,16.2571400618617,9.08237113971604
NK_I,1.06827080146239,0.907972585085818,0.976297736577618,2.22684703433923,4.1368202432925,0.380526998702465,0.615967780146885,1.70334692729574,0.766310964692401,0.677393306815803,4.70143385366996,2.64340753424658,3.73013176275154,1.06375269923624,1.10147518998659,0.824336438398877,3.27284312163801,2.83620857919313,0.577139039333589,0.890375817692077,1.6071880536573,0.973254086181278,1.77487919194855,3.38607945114529,3.49494762213776,0.973658389312401,0.852089233368112,0.703463203463203,0.662295884860695,1.11535761641058,3.95820775567611,1.50701987892319,3.47707412462062,2.22906186866975,1.53603243601489,3.74648046239929,2.2181924160487,1.06880998696052,1.47750347333547,1.57356869120892,1.59776762607737,2.17470493953082,2.28659318123558,1.6482634367363,2.95435668617566,1.24362530195938,1.4913543503227,0.931972609258917,1.60583540530516,1.4965395714687,0.276418436085915,2.50430564830762,0.432693286636395,0.612402639871574,6.1822759767996,5.26601132813057,3.97195505035785,2.54799301919721,1.95357443628643,0.469421892926267,0.915038049561994,2.36234826721315,3.12619941750642,5.91864169567059
NK_II,3.23592708792491,3.06953312635464,2.30723939149128,4.32787815722259,2.73174246598567,3.3898093622118,2.70670457237621,6.85557586837294,4.3128267564277,2.70957322726321,5.24854021315398,2.54708904109589,4.61924717786084,2.14924421385197,3.11488600804649,3.02451572670226,10.836774454424,9.10019068210141,1.98729156893684,2.87100773868058,4.91436767063191,2.4739970282318,5.16295461977255,4.3543211242669,5.23407805692037,2.18431579741867,2.18611814974909,3.43672285161647,2.42433686928839,3.46306840340067,7.66860893443172,5.13932420248165,5.40402908764997,6.02755142163709,4.74454688992417,6.08053009749568,5.61348401929989,1.84476603749385,3.16607887143315,5.41361824023536,3.04475999729955,5.06884744280927,3.80927967187901,2.07459997502631,6.47466728477333,3.14216694998658,2.70611261181114,1.03508447241097,3.59218099646963,2.54360650713793,0.358320194926186,4.37418719904397,1.32556860988373,0.842796836910637,14.1240651649356,10.8915552638713,9.87564364130963,4.33456143752828,4.31280913803124,2.00730406452799,1.99541967485853,5.34451436078929,5.13331878353665,3.77327219490636
NK_III,1.35089584359686,1.59334543963447,1.09542523038162,0.916658783464194,0.913406518882719,1.47469807366005,0.679143962726052,1.95471804246941,1.60423977655232,1.39815174806352,1.84209205440948,0.905393835616438,2.27658851512063,0.498543499369574,0.83504693786321,1.68959738083174,4.15385180919239,5.63337987778328,0.557237693149672,1.07529180383941,1.54391293343457,1.51560178306092,1.74944591795952,0.683301980745823,1.59451191248725,0.41814476564269,0.680677696626422,1.26991802523717,0.670087601153174,2.23981488703429,2.50485566941263,2.57395560516938,1.64789277493736,1.60332461052432,1.02727042357849,1.14881810209095,1.37463165052945,0.397597315149313,1.0019236934915,1.92389579220377,1.21745392353219,2.25120209820778,1.16038622575408,0.922242637221499,1.94510440207838,1.03963496465957,0.507901590023131,0.190360362742247,1.3558251026828,1.33309497663253,0.19042158930363,2.02101859337106,0.925454582476431,0.420655211368096,5.7176685700583,4.61114836426931,7.22659412545743,1.56421692198307,2.22045618987747,1.96439049595824,2.28400069834554,1.89214164031707,2.98923064187181,3.08086109423052
NK_IV,1.52461949334924,0.304610157577178,1.03791540578658,1.19099422949579,1.65727122451575,0.330621818544765,0.465924346521361,0.738292785824779,0.539998567643057,0.245237311959805,2.07967340929244,1.18792808219178,2.16710084192245,0.323183721975044,0.268216361198033,0.288420314144288,1.21552241732119,0.917376094169932,0.260139025118342,0.273632904356749,0.615877836834557,0.492199108469539,0.813864767648875,0.803640588690937,1.22740335589135,0.235489470903464,0.322949272122025,0.254444137422861,0.188114293346987,0.443283155240101,0.676444980242449,0.581769782319351,0.515348420345059,0.416932192588776,0.452232899943471,0.449269936353426,0.610407694051358,0.262927256792287,0.649246553382494,0.584523671273178,0.389315210297725,0.601049103890427,0.413569170298214,0.410282024295831,0.549535454211817,0.30061733917867,0.399527683871698,0.124263014567856,0.402489113562372,0.413719130679061,0.169946149593563,0.989420407015571,0.17104111095274,0.280932278970212,2.43094585075611,2.98041117975204,3.05871304122543,1.26042272639131,0.880116716286904,0.204058397484739,0.355334641019585,0.475864193262467,0.774400385318753,3.65173194851113
TcEFF_I,0.287810822724091,0.777146427664851,0.283441278361244,1.99129694447072,1.32666468867885,0.0274478490867352,0.0394851141119798,1.61018140908452,1.33782138508916,0.480007177677423,2.6937040940956,0.107020547945205,3.42620908370144,0.714482398805814,0.461332141260617,0.372218108118642,1.63948487336266,1.16661411648124,0.0710762363711317,0.0726837402197614,0.204589555386822,1.02526002971768,0.279766013879301,0.0387296669248645,0.0556225085751367,0.0860442297531889,0.151537735380335,0.967117988394584,0.53206291254355,1.32464966331279,0.0736722255709597,0.0665493108926195,0.0936997127900108,0.136943581955988,0.202725093078108,0.487221962940359,0.283345746575564,0.344156815801287,0.459549000748103,0.0696783184299152,0.182280531989108,0.22220603234737,0.230710074339913,0.274710572789383,0.181568831971567,0.0841012794130804,0.0566132345567184,0.0423023028316104,0.15110512795857,0.181321347396379,0.423841601998403,0.344451864609328,0.398077823705484,0.269040965574648,3.45008467844671,5.50427301650711,2.80449496421516,0.526145691939758,0.431755370253953,0.597286811521855,3.01315559754757,0.134524355823207,0.177607862910812,0.165736699629855
